uri,notation,label_fi,label_sv,label_en
http://www.yso.fi/onto/yso/p17765,,FOLLOW,FOLLOW,FOLLOW
http://www.yso.fi/onto/yso/p17767,,liikennevakuutus,trafikförsäkring,vehicle insurance
http://www.yso.fi/onto/yso/p17768,,hattujen sota,hattarnas krig,Russo-Swedish War (1741-1743)
http://www.yso.fi/onto/yso/p17769,,sisällysluettelot,innehållsförteckningar,tables of contents
http://www.yso.fi/onto/yso/p1777,,seurakuntahistoriat,församlingshistoriker,congregational histories
http://www.yso.fi/onto/yso/p17770,,radiolähettimet,radiosändare,radio transmitters
http://www.yso.fi/onto/yso/p17771,,työrikokset,arbetsbrott,labour crimes
http://www.yso.fi/onto/yso/p17772,,musiikin tohtorit,musikdoktorer,Doctors of Music
http://www.yso.fi/onto/yso/p17773,,kansankertojat,folkliga berättare,tellers of folktales
http://www.yso.fi/onto/yso/p17774,,jännityselokuvat,thrillers (filmer),thrillers (films)
http://www.yso.fi/onto/yso/p17775,,avaruusoikeus,rymdrätt,space law
http://www.yso.fi/onto/yso/p17776,,nukkekodit,dockskåp,dollhouses
http://www.yso.fi/onto/yso/p17777,,kaupunkikortit,stadskort,city cards
http://www.yso.fi/onto/yso/p17778,,poroerotus,renskiljning,reindeer round-up
http://www.yso.fi/onto/yso/p17779,,kirjakerhot,bokklubbar,book clubs (book shops)
http://www.yso.fi/onto/yso/p1778,,historiikit,historiker (verk),histories (literary works)
http://www.yso.fi/onto/yso/p17780,,funktionaalianalyysi,funktionalanalys,functional analysis
http://www.yso.fi/onto/yso/p17781,,lomautus,permittering,temporary dismissal
http://www.yso.fi/onto/yso/p17782,,suullinen kielitaito,muntlig språkfärdighet,oral language skills
http://www.yso.fi/onto/yso/p17783,,heinä,hö,hay (green fodder}
http://www.yso.fi/onto/yso/p17784,,puunhankinta,virkesanskaffning,wood procurement
http://www.yso.fi/onto/yso/p17785,,puukauppa,virkeshandel,lumber trade
http://www.yso.fi/onto/yso/p17786,,hermoratahieronta,nervbanemassage,massage of neural pathways
http://www.yso.fi/onto/yso/p17787,,keuhkoputkitulehdus,bronkit,bronchitis
http://www.yso.fi/onto/yso/p17788,,maatalousverotus,jordbruksbeskattning,agricultural taxation
http://www.yso.fi/onto/yso/p17789,,taloushistoria,ekonomisk historia,economic history
http://www.yso.fi/onto/yso/p1779,,paikallishistoriat (historiikit),lokalhistoriker,local histories (literary works)
http://www.yso.fi/onto/yso/p17790,,nuorisotilat,ungdomslokaler,youth recreational facilities
http://www.yso.fi/onto/yso/p17791,,veroehdotukset,skatteförslag,tax proposals
http://www.yso.fi/onto/yso/p17792,,veroilmoitukset,skattedeklarationer,tax returns
http://www.yso.fi/onto/yso/p17793,,tapporahat,skottpengar,bounties (hunting)
http://www.yso.fi/onto/yso/p17794,,sähkösuunnittelu,elplanering,electrical wiring design
http://www.yso.fi/onto/yso/p17795,,kytkentä,koppling,coupling
http://www.yso.fi/onto/yso/p17796,,kaskaat,stritar,cicadas
http://www.yso.fi/onto/yso/p17797,,impedanssitomografia,impedanstomografi,impedance tomography
http://www.yso.fi/onto/yso/p17798,,tomografia,tomografi,tomography
http://www.yso.fi/onto/yso/p17799,,hydrobiologia,hydrobiologi,hydrobiology
http://www.yso.fi/onto/yso/p178,,ohjaus (neuvonta ja opastus),handledning,direction (instruction and guidance)
http://www.yso.fi/onto/yso/p1780,,historia,historia,history
http://www.yso.fi/onto/yso/p17800,,suppilovahvero,trattkantarell,Craterellus tubaeformis
http://www.yso.fi/onto/yso/p17801,,nenetsit,nentser,Nentsy
http://www.yso.fi/onto/yso/p17802,,Smalltalk,Smalltalk,Smalltalk
http://www.yso.fi/onto/yso/p17803,,bayesilainen menetelmä,bayesiska metoder,Bayesian analysis
http://www.yso.fi/onto/yso/p17804,,pohjalaismurteet (suomen kieli),österbottniska dialekter (finska),Ostrobothnian dialects (Finnish)
http://www.yso.fi/onto/yso/p17805,,taekwondo,taekwondo,taekwondo
http://www.yso.fi/onto/yso/p17806,,päiväsairaanhoito,dagsjukvård,day hospital care
http://www.yso.fi/onto/yso/p17807,,merikirjallisuus,sjöromaner,maritime literature
http://www.yso.fi/onto/yso/p17808,,menetys,förlust (känsla),loss (feeling)
http://www.yso.fi/onto/yso/p17809,,poloneesi (tanssit),polonäs (danser),polonaise (dances)
http://www.yso.fi/onto/yso/p1781,,säteilybiologia,strålbiologi,radiobiology
http://www.yso.fi/onto/yso/p17810,,mahalaukku,magsäck,stomach
http://www.yso.fi/onto/yso/p17811,,kirkossakäynti,kyrkobesök,church attendance
http://www.yso.fi/onto/yso/p17812,,kohtuullistaminen,jämkning,amendment for reasons of equity
http://www.yso.fi/onto/yso/p17813,,esteettinen kasvatus,estetisk fostran,aesthetic education
http://www.yso.fi/onto/yso/p17814,,museoesineet,museiföremål,museum pieces
http://www.yso.fi/onto/yso/p17815,,kulttuuriesineet,kulturföremål,artefacts of cultural value
http://www.yso.fi/onto/yso/p17816,,verkkojuttelu,chatt,online chatting
http://www.yso.fi/onto/yso/p17817,,diskurssi,diskurs,discourse
http://www.yso.fi/onto/yso/p17818,,regeneraatio (biologia),regeneration (biologi),regeneration (biology)
http://www.yso.fi/onto/yso/p17819,,Ihmisoikeuksien yleismaailmallinen julistus,FN:s deklaration om de mänskliga rättigheterna,Universal Declaration of Human Rights
http://www.yso.fi/onto/yso/p1782,,biologia,biologi,biology
http://www.yso.fi/onto/yso/p17820,,typpihappo,salpetersyra,nitric acid
http://www.yso.fi/onto/yso/p17821,,kuvaputket,bildrör,picture tubes
http://www.yso.fi/onto/yso/p17822,,lyhyen aikavälin suunnittelu,kortsiktig planering,short-term planning
http://www.yso.fi/onto/yso/p17823,,konsekutiivitulkkaus,konsekutiv tolkning,consecutive interpreting
http://www.yso.fi/onto/yso/p17824,,raviradat,travbanor,trotting tracks
http://www.yso.fi/onto/yso/p17825,,sikatalous,svinskötsel (ekonomi),pig production
http://www.yso.fi/onto/yso/p17826,,työväenteatterit,arbetarteatrar,workers' theatres
http://www.yso.fi/onto/yso/p17827,,paikallisvaluutta,lokal valuta,local currency
http://www.yso.fi/onto/yso/p17828,,servotekniikka,servoteknik,servo technology
http://www.yso.fi/onto/yso/p17829,,kalkkiteollisuus,kalkindustri,lime industry
http://www.yso.fi/onto/yso/p1783,,jääkäriliike,jägarrörelsen,Jaeger Movement
http://www.yso.fi/onto/yso/p17830,,fotorealismi,fotorealism,photo-realism
http://www.yso.fi/onto/yso/p17831,,teräsrakenteet,stålkonstruktioner,steel constructions
http://www.yso.fi/onto/yso/p17832,,käyttöönotto,ibruktagande,introduction (deployment)
http://www.yso.fi/onto/yso/p17833,,satanismi,satanism,satanism
http://www.yso.fi/onto/yso/p17834,,poloneesit (sävellykset),polonäser (kompositioner),polonaise (dance music)
http://www.yso.fi/onto/yso/p17835,,vesileimat,vattenstämplar,watermarks
http://www.yso.fi/onto/yso/p17836,,informaatiotutkimus,informationsvetenskap,information science
http://www.yso.fi/onto/yso/p17837,,kansainväliset järjestöt,internationella organisationer,international organisations
http://www.yso.fi/onto/yso/p17838,,ratkaisukeskeisyys,lösningsorientering,solution orientation
http://www.yso.fi/onto/yso/p17839,,maaseutukulttuuri,landsbygdskultur,rural culture
http://www.yso.fi/onto/yso/p1784,,tyylikaudet,stilperioder,stylistic periods
http://www.yso.fi/onto/yso/p17840,,keskipakovoima,centrifugalkraft,centrifugal force
http://www.yso.fi/onto/yso/p17841,,mädätys,rötning,anaerobic fermentation
http://www.yso.fi/onto/yso/p17842,,graafinen viestintä,grafisk kommunikation,graphic communication
http://www.yso.fi/onto/yso/p17843,,läänineläinlääkärit,länsveterinärer,regional veterinary officers
http://www.yso.fi/onto/yso/p17844,,Viikin-Vanhankaupunginlahden luonnonsuojelualue,Vik-Gammelstadsvikens naturskyddsområde,Viikki-Vanhankaupunginlahti Nature Reserve
http://www.yso.fi/onto/yso/p17845,,soijakastike,sojasås,soy sauce
http://www.yso.fi/onto/yso/p17846,,kastikkeet,såser,sauces
http://www.yso.fi/onto/yso/p17848,,tutkimustekniikka,forskningsteknik,research technology
http://www.yso.fi/onto/yso/p17849,,ihmisoikeuspolitiikka,mänskorättspolitik,human rights policy
http://www.yso.fi/onto/yso/p1785,,Villa Mairea,Villa Mairea,Villa Mairea
http://www.yso.fi/onto/yso/p17850,,tyristorit,tyristorer,thyristors
http://www.yso.fi/onto/yso/p17851,,mehiläishoito,biodling (arbete),bee culture (husbandry)
http://www.yso.fi/onto/yso/p17852,,mongolit,mongoler,Mongols
http://www.yso.fi/onto/yso/p17853,,veronkanto,skatteuppbörd,tax collection
http://www.yso.fi/onto/yso/p17854,,kirkonkirjat,kyrkböcker,church registers
http://www.yso.fi/onto/yso/p17855,,kojootti,prärievarg,coyote
http://www.yso.fi/onto/yso/p17856,,analogia,analogi,analogy
http://www.yso.fi/onto/yso/p17857,,murskaimet,krossar,crushing machines
